time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
1.335006,-0.000067,-0.000188,-0.005084
1.340007,-0.000069,-0.000196,-0.005029
1.345007,-0.000062,-0.000187,-0.004928
1.350007,-0.000052,-0.000167,-0.004874
1.355007,-0.000043,-0.000145,-0.004807
1.360008,-0.000043,-0.000146,-0.004788
1.365008,-0.000040,-0.000146,-0.004758
1.370008,-0.000037,-0.000142,-0.004729
1.375008,-0.000024,-0.000105,-0.004669
1.380008,-0.000016,-0.000083,-0.004622
1.385009,-0.000009,-0.000068,-0.004558
1.390009,-0.000006,-0.000066,-0.004517
1.395009,-0.000009,-0.000085,-0.004440
1.400009,-0.000012,-0.000104,-0.004383
1.405010,-0.000013,-0.000122,-0.004299
1.410010,-0.000009,-0.000120,-0.004241
1.415010,0.000001,-0.000102,-0.004128
1.420010,0.000004,-0.000108,-0.004049
1.425011,0.000008,-0.000112,-0.003945
1.430011,0.000010,-0.000113,-0.003880
1.435011,0.000010,-0.000118,-0.003768
1.440011,0.000009,-0.000131,-0.003698
1.445011,0.000004,-0.000182,-0.003584
1.450012,0.000002,-0.000208,-0.003504
1.455012,0.000000,-0.000221,-0.003375
1.460012,0.000001,-0.000217,-0.003291
1.465012,0.000004,-0.000198,-0.003150
1.470013,0.000007,-0.000174,-0.003042
1.475013,0.000009,-0.000138,-0.002896
1.480013,0.000008,-0.000121,-0.002807
1.485013,0.000008,-0.000108,-0.002670
1.490014,0.000008,-0.000089,-0.002582
1.495014,0.000008,-0.000043,-0.002414
1.500014,0.000007,-0.000006,-0.002295
1.505014,0.000005,0.000049,-0.002129
1.510015,0.000006,0.000075,-0.002022
1.515015,0.000007,0.000078,-0.001871
1.520015,0.000007,0.000074,-0.001780
1.525015,0.000009,0.000048,-0.001633
1.530015,0.000011,0.000009,-0.001561
1.535016,0.000014,-0.000043,-0.001478
1.540016,0.000014,-0.000058,-0.001419
1.545016,0.000013,-0.000075,-0.001322
1.550016,0.000013,-0.000085,-0.001241
1.555017,0.000014,-0.000099,-0.001100
1.560017,0.000014,-0.000099,-0.001004
1.565017,0.000012,-0.000119,-0.000862
1.570017,0.000008,-0.000121,-0.000751
1.575018,0.000002,-0.000116,-0.000584
1.580018,-0.000002,-0.000116,-0.000481
1.585018,-0.000006,-0.000113,-0.000362
1.590018,-0.000007,-0.000119,-0.000302
1.595019,-0.000008,-0.000128,-0.000236
1.600019,-0.000010,-0.000119,-0.000189
1.605019,-0.000011,-0.000108,-0.000105
1.610019,-0.000015,-0.000079,-0.000056
1.615019,-0.000017,-0.000047,0.000018
1.620020,-0.000018,-0.000037,0.000051
1.625020,-0.000019,-0.000010,0.000130
1.630020,-0.000022,0.000019,0.000182
1.635020,-0.000030,0.000084,0.000223
1.640021,-0.000035,0.000129,0.000243
1.645021,-0.000040,0.000159,0.000293
1.650021,-0.000040,0.000157,0.000324
1.655021,-0.000041,0.000165,0.000370
1.660022,-0.000040,0.000164,0.000423
1.665022,-0.000034,0.000137,0.000505
1.670022,-0.000031,0.000125,0.000572
1.675022,-0.000026,0.000092,0.000668
1.680022,-0.000021,0.000060,0.000719
1.685023,-0.000014,-0.000007,0.000750
1.690023,-0.000008,-0.000063,0.000759
1.695023,-0.000004,-0.000119,0.000782
1.700023,-0.000002,-0.000139,0.000789
1.705024,-0.000001,-0.000157,0.000799
1.710024,-0.000002,-0.000147,0.000801
1.715024,-0.000006,-0.000127,0.000797
1.720024,-0.000007,-0.000122,0.000795
1.725025,-0.000011,-0.000087,0.000786
1.730025,-0.000014,-0.000049,0.000773
1.735025,-0.000022,0.000033,0.000767
1.740025,-0.000026,0.000075,0.000760
1.745026,-0.000031,0.000118,0.000772
1.750026,-0.000033,0.000145,0.000786
1.755026,-0.000032,0.000134,0.000821
1.760026,-0.000029,0.000107,0.000841
1.765026,-0.000026,0.000067,0.000860
1.770027,-0.000025,0.000033,0.000863
1.775027,-0.000026,0.000006,0.000856
1.780027,-0.000025,0.000000,0.000841
1.785027,-0.000026,0.000008,0.000832
1.790028,-0.000026,0.000013,0.000823
1.795028,-0.000025,0.000008,0.000820
1.800028,-0.000027,0.000016,0.000801
1.805028,-0.000028,0.000018,0.000762
1.810029,-0.000030,0.000051,0.000691
1.815029,-0.000041,0.000290,0.000392
1.820029,-0.000056,0.000619,0.000056
1.825029,-0.000086,0.001299,-0.000630
1.830029,-0.000115,0.001870,-0.001220
1.835030,-0.000178,0.002853,-0.002253
1.840030,-0.000241,0.003584,-0.003003
1.845030,-0.000376,0.004718,-0.004219
1.850030,-0.000502,0.005502,-0.005054
1.855031,-0.000758,0.006667,-0.006310
1.860031,-0.000983,0.007441,-0.007163
1.865031,-0.001412,0.008566,-0.008447
1.870031,-0.001756,0.009233,-0.009267
1.875032,-0.002322,0.009965,-0.010293
1.880032,-0.002710,0.010248,-0.010801
1.885032,-0.003264,0.010348,-0.011302
1.890032,-0.003585,0.010198,-0.011464
1.895033,-0.003965,0.009719,-0.011431
1.900033,-0.004137,0.009265,-0.011247
1.905033,-0.004253,0.008430,-0.010755
1.910033,-0.004246,0.007827,-0.010335
1.915033,-0.004154,0.006955,-0.009629
1.920034,-0.004041,0.006399,-0.009125
1.925034,-0.003659,0.005424,-0.008077
1.930034,-0.003219,0.004655,-0.007078
1.935034,-0.002290,0.003364,-0.005140
1.940035,-0.001542,0.002459,-0.003648
1.945035,-0.000254,0.001017,-0.001193
1.950035,0.000655,0.000027,0.000543
1.955035,0.002038,-0.001524,0.003158
1.960036,0.002936,-0.002614,0.004882
1.965036,0.004170,-0.004331,0.007372
1.970036,0.004888,-0.005543,0.008960
1.975036,0.005744,-0.007462,0.011162
1.980036,0.006139,-0.008800,0.012463
1.985037,0.006400,-0.010807,0.014108
1.990037,0.006355,-0.012127,0.015014
1.995037,0.005967,-0.014016,0.016080
2.000037,0.005513,-0.015177,0.016633
2.005037,0.004590,-0.016746,0.017269
2.010037,0.003827,-0.017577,0.017543
2.015036,0.002533,-0.018340,0.017627
2.020036,0.001633,-0.018505,0.017498
2.025036,0.000320,-0.018257,0.017062
2.030035,-0.000485,-0.017814,0.016658
2.035035,-0.001543,-0.016825,0.015945
2.040035,-0.002133,-0.016016,0.015402
2.045034,-0.002830,-0.014640,0.014502
2.050034,-0.003169,-0.013668,0.013861
2.055033,-0.003498,-0.012188,0.012850
2.060033,-0.003608,-0.011221,0.012145
2.065033,-0.003627,-0.009835,0.011047
2.070032,-0.003552,-0.008960,0.010295
2.075032,-0.003340,-0.007750,0.009145
2.080032,-0.003145,-0.007020,0.008351
2.085031,-0.002767,-0.006001,0.007100
2.090031,-0.002433,-0.005335,0.006218
2.095031,-0.001787,-0.004320,0.004746
2.100030,-0.001265,-0.003635,0.003681
2.105030,-0.000325,-0.002556,0.001909
2.110029,0.000375,-0.001815,0.000643
2.115029,0.001484,-0.000680,-0.001284
2.120029,0.002235,0.000092,-0.002572
2.125028,0.003313,0.001260,-0.004436
2.130028,0.003967,0.002034,-0.005583
2.135028,0.004769,0.003129,-0.007045
2.140027,0.005147,0.003774,-0.007814
2.145027,0.005482,0.004591,-0.008570
2.150027,0.005550,0.005006,-0.008803
2.155026,0.005470,0.005440,-0.008810
2.160026,0.005307,0.005579,-0.008621
2.165025,0.004959,0.005599,-0.008137
2.170025,0.004698,0.005527,-0.007733
2.175025,0.004285,0.005301,-0.007086
2.180024,0.004009,0.005094,-0.006641
2.185024,0.003637,0.004783,-0.005972
2.190024,0.003414,0.004579,-0.005539
2.195023,0.003122,0.004298,-0.004959
2.200023,0.002959,0.004156,-0.004631
2.205023,0.002759,0.004015,-0.004251
2.210022,0.002651,0.003974,-0.004075
2.215022,0.002509,0.003955,-0.003913
2.220021,0.002425,0.003971,-0.003864
2.225021,0.002308,0.004026,-0.003842
2.230021,0.002237,0.004088,-0.003863
2.235020,0.002128,0.004185,-0.003917
2.240020,0.002054,0.004245,-0.003949
2.245020,0.001938,0.004320,-0.003956
2.250019,0.001858,0.004349,-0.003930
2.255019,0.001735,0.004357,-0.003853
2.260019,0.001656,0.004355,-0.003796
2.265018,0.001537,0.004313,-0.003677
2.270018,0.001458,0.004257,-0.003590
2.275017,0.001347,0.004158,-0.003443
2.280017,0.001277,0.004077,-0.003347
2.285017,0.001176,0.003928,-0.003222
2.290016,0.001113,0.003833,-0.003138
2.295016,0.001025,0.003669,-0.002990
2.300016,0.000972,0.003567,-0.002896
2.305015,0.000899,0.003392,-0.002757
2.310015,0.000856,0.003286,-0.002669
2.315015,0.000798,0.003142,-0.002542
2.320014,0.000763,0.003046,-0.002448
2.325014,0.000719,0.002915,-0.002297
2.330014,0.000693,0.002848,-0.002198
2.335013,0.000657,0.002733,-0.002075
2.340013,0.000635,0.002647,-0.002016
2.345012,0.000604,0.002524,-0.001928
2.350012,0.000584,0.002441,-0.001881
2.355012,0.000558,0.002314,-0.001807
2.360011,0.000545,0.002221,-0.001743
2.365011,0.000527,0.002087,-0.001641
2.370011,0.000517,0.002004,-0.001579
2.375010,0.000507,0.001880,-0.001474
2.380010,0.000503,0.001786,-0.001396
2.385010,0.000500,0.001658,-0.001294
2.390009,0.000500,0.001567,-0.001201
2.395009,0.000505,0.001421,-0.001088
2.400008,0.000509,0.001321,-0.001005
2.405008,0.000519,0.001158,-0.000898
2.410008,0.000527,0.001044,-0.000832
2.415007,0.000540,0.000888,-0.000741
2.420007,0.000552,0.000776,-0.000664
2.425007,0.000571,0.000612,-0.000543
2.430006,0.000583,0.000518,-0.000476
2.435006,0.000601,0.000406,-0.000394
2.440006,0.000614,0.000332,-0.000336
2.445005,0.000632,0.000225,-0.000262
2.450005,0.000643,0.000165,-0.000212
2.455004,0.000659,0.000090,-0.000157
2.460004,0.000668,0.000043,-0.000109
2.465004,0.000685,-0.000052,-0.000050
2.470003,0.000697,-0.000110,-0.000009
2.475003,0.000710,-0.000159,0.000069
2.480003,0.000719,-0.000201,0.000112
2.485002,0.000735,-0.000276,0.000154
2.490002,0.000746,-0.000336,0.000183
2.495002,0.000757,-0.000394,0.000256
2.500001,0.000764,-0.000431,0.000328
2.505001,0.000773,-0.000471,0.000432
2.510000,0.000779,-0.000497,0.000488
2.515000,0.000788,-0.000537,0.000519
2.520000,0.000795,-0.000570,0.000524
2.524999,0.000806,-0.000625,0.000501
2.529999,0.000813,-0.000670,0.000483
2.534999,0.000824,-0.000729,0.000481
2.539998,0.000830,-0.000754,0.000473
2.544998,0.000836,-0.000767,0.000452
2.549998,0.000839,-0.000774,0.000446
2.554997,0.000847,-0.000816,0.000474
2.559997,0.000851,-0.000821,0.000491
2.564996,0.000856,-0.000812,0.000521
2.569996,0.000859,-0.000792,0.000554
2.574996,0.000861,-0.000744,0.000604
2.579995,0.000864,-0.000728,0.000614
2.584995,0.000869,-0.000736,0.000601
2.589995,0.000874,-0.000766,0.000610
2.594994,0.000879,-0.000794,0.000630
2.599994,0.000882,-0.000803,0.000635
2.604994,0.000885,-0.000814,0.000640
2.609993,0.000888,-0.000829,0.000639
2.614993,0.000891,-0.000846,0.000623
2.619992,0.000891,-0.000841,0.000617
2.624992,0.000891,-0.000829,0.000625
2.629992,0.000889,-0.000818,0.000631
2.634991,0.000886,-0.000771,0.000662
2.639991,0.000884,-0.000730,0.000670
2.644991,0.000882,-0.000674,0.000678
2.649990,0.000881,-0.000641,0.000667
2.654990,0.000882,-0.000610,0.000636
2.659990,0.000883,-0.000597,0.000595
2.664989,0.000884,-0.000574,0.000526
2.669989,0.000883,-0.000552,0.000460
2.674989,0.000882,-0.000512,0.000371
2.679988,0.000883,-0.000495,0.000336
2.684988,0.000885,-0.000473,0.000277
2.689987,0.000887,-0.000465,0.000254
2.694987,0.000890,-0.000468,0.000238
2.699987,0.000892,-0.000470,0.000245
2.704986,0.000894,-0.000475,0.000272
2.709986,0.000897,-0.000481,0.000292
2.714986,0.000906,-0.000487,0.000315
2.719985,0.000917,-0.000469,0.000323
2.724985,0.000940,-0.000447,0.000339
2.729985,0.000960,-0.000426,0.000340
2.734984,0.000997,-0.000394,0.000340
2.739984,0.001028,-0.000359,0.000326
2.744983,0.001080,-0.000300,0.000304
2.749983,0.001119,-0.000263,0.000272
2.754983,0.001184,-0.000237,0.000241
2.759982,0.001233,-0.000237,0.000227
2.764982,0.001313,-0.000236,0.000195
2.769982,0.001370,-0.000236,0.000186
2.774981,0.001460,-0.000242,0.000193
2.779981,0.001522,-0.000233,0.000198
2.784981,0.001618,-0.000221,0.000171
2.789980,0.001686,-0.000212,0.000152
2.794980,0.001792,-0.000202,0.000112
2.799979,0.001865,-0.000211,0.000094
2.804979,0.001977,-0.000223,0.000082
2.809979,0.002054,-0.000215,0.000067
2.814978,0.002170,-0.000197,0.000057
